Позначка часу,Група,"Припустим, що ми навчили логістичну регресію. На новому прикладі х вона видає результат hθ(x)=0.4. Це означає (оберіть ВСІ релевантні варіанти)",Припустимо для навчальної множини використовується класифікатор логістичної регресії hθ(x) з двома ознаками. Оберіть всі коректні твердження ,Яку проблему вирішує сингулярний розклад матриці?,Масштабування даних - це,"Для логістичної регресії градієнт обчислюється за формулою. Які із формул коректно описують модифікацію вагових коефіцієнтів логістичної регресії, якщо коефіцієнт швидкості навчання рівний α. Оберіть всі можливі варіанти. ",Оберіть всі вірні твердження,Unnamed: 16,Припустимо для навчальної множини використовується класифікатор логістичної регресії hθ(x) з двома ознаками. Оберіть всі коректні твердження .1,Unnamed: 18,Оберіть на картинках всі приклади переначання моделі на навчальних даних,Оберіть на картинках всі приклади недоначання моделі на навчальних даних,Які із тверджень вірні щодо навчання логістичної регресії?,Які проблеми виникають при навчанні багатофакторної лінійної регресії з використанням нормальної системи рівнянь?,Побудувати модель класифікації на основі персептрона Розенблатта і описати функцію роздільної поверхні для обчислення логічної функції not(A&B). Навести приклади обчислення значень цієї функції. 
03.11.2023 11:24:21,ФІ-03,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Жодних проблем,Спосіб попередньої обробки даних в аналізі даних,"для всіх j, Одночасно для всіх j, для всіх j одночасно","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення сигмоїдної функції ніколи не перевищує 1",A,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,A,"A, B",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Всі прераховані, Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1bSjC4m1R0HljrvL3GACFFAj3T-WqjbH1
03.11.2023 12:03:38,ФБ-04,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення сигмоїдної функції ніколи не перевищує 1, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",B,"A, B",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,Мультиколеніарність,https://drive.google.com/open?id=1yE-g39klRWrzpp8ki6t5rfOeRubzkGAx
03.11.2023 12:15:17,ФБ-04,"P(y=1|x;θ)=0.4, P(y=1|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення сигмоїдної функції ніколи не перевищує 1, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,"B, A",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,Мультиколеніарність,https://drive.google.com/open?id=19HOi30ZyHAnafKG1e_T0IWLUZZWRMvWq
03.11.2023 12:45:09,ФБ-04,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення сигмоїдної функції ніколи не перевищує 1",C,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",B,"B, A",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1n_9QHjJfZTYoJRrROe9M6slM2Ob-Fa3I
03.11.2023 12:48:03,ФБ-05,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,для всіх j одночасно,"Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Логістична регересія дозволить розділити класи, оскільки це нелінійна функція",B,A,D,Додавання параметру регуляризації завжди покращує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",
03.11.2023 12:57:14,ФІ-01,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,"A, B",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1lp_1cbRS4-dOR8vHkKBZIcNIobvFESRO
03.11.2023 13:03:22,ФІ-01,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Для оптимального значення θ функція втрат J(θ)>=0, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення сигмоїдної функції ніколи не перевищує 1, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,"B, A",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1G-duZBqFanKGzcu2FycIMZM_XUNfrJ9Q
03.11.2023 13:16:42,ФІ-02,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Перенавчання персептрона,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",C,"Додавання нової ознаки в модель завжди покращує роботу моделі на навчальних даних, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",D,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=15PlEYfQZpG0VDPMSNcHFdD7wFNC0kU27
03.11.2023 13:23:50,FI-02,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Перенавчання персептрона,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Значення сигмоїдної функції ніколи не перевищує 1, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Додавання нової ознаки в модель завжди покращує роботу моделі на навчальних даних",D,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1Xn8bmOioCJVrWSJA1nF2nLdph1i0owIB
03.11.2023 13:27:28,ФБ-03,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Спосіб попередньої обробки даних в аналізі даних,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=12dPDKjtNpdrW93eLMk6cgt_PdF2QI5M0
03.11.2023 13:41:02,ФБ-06,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Спосіб попередньої обробки даних в аналізі даних,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення сигмоїдної функції ніколи не перевищує 1",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1wNmafbeXUjBRLu6EAbXPLJMzGbGOf8z_
03.11.2023 13:57:31,ФБ-03,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Спосіб попередньої обробки даних в аналізі даних,"Одночасно для всіх j, для всіх j одночасно","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=17DLhokxTG20jJtadvu3VIrafge3z4eAm
